조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2011,충청남도 홍성군,과채류계,딸기,1307308,24.7,4616293
2010,충청남도 홍성군,과채류계,딸기,1192708,17.7,3360677
2011,충청남도 부여군,과채류계,딸기,757000,6.1,2420300
2013,충청남도 논산시,과채류계,딸기,720455,105,2685421
2013,충청남도 홍성군,과채류계,딸기,317574,26.9,819100
2013,충청남도 부여군,과채류계,딸기,309069,150.6,1285280.116
2012,충청남도 부여군,과채류계,딸기,234278.9,3416.2,826660.3
2010,충청남도 논산시,과채류계,딸기,215437,131.9,675637
2014,충청남도 부여군,과채류계,딸기,172055.9,83.1,662530
2015,충청남도 부여군,과채류계,딸기,170534,93.8,672425
2012,충청남도 홍성군,과채류계,딸기,135286,27.2,264480
2013,충청남도 금산군,과채류계,딸기,133665,11.9,83665
2014,충청남도 금산군,과채류계,딸기,125085,2.9,57925
2015,충청남도 홍성군,과채류계,딸기,78392,63.6,235456
2013,충청남도 예산군,과채류계,딸기,72735,24.7,192200
2014,충청남도 홍성군,과채류계,딸기,65440,44.9,190508
2010,충청남도 당진시,과채류계,딸기,59443,44.2,268250
2011,충청남도 예산군,과채류계,딸기,58500,36.2,162424
2011,충청남도 금산군,과채류계,딸기,56111,7.7,60503.28
2012,충청남도 금산군,과채류계,딸기,52527,3.8,57333
2010,충청남도 예산군,과채류계,딸기,50196,28.2,141384
2010,충청남도 공주시,과채류계,딸기,46780,45.6,158100
2012,충청남도 당진시,과채류계,딸기,46084,47.4,155745
2015,충청남도 예산군,과채류계,딸기,42728,25.6,115800
2011,충청남도 당진시,과채류계,딸기,39000,58.7,175967
2015,충청남도 서산시,과채류계,딸기,38807,52.3,155120
2015,충청남도 당진시,과채류계,딸기,37261,38.2,72220
2010,충청남도 서산시,과채류계,딸기,36967,23.5,102176.1
2011,충청남도 공주시,과채류계,딸기,36095,38.5,126332.5
2014,충청남도 서산시,과채류계,딸기,35807,48.6,153870
2010,충청남도 금산군,과채류계,딸기,29371,26.3,62760
2014,충청남도 보령시,과채류계,딸기,28731,16.3,58457
2014,충청남도 예산군,과채류계,딸기,28518,25.1,78871
2012,충청남도 예산군,과채류계,딸기,27085,17,76954
2014,충청남도 계룡시,과채류계,딸기,26607,24,84427
2013,충청남도 당진시,과채류계,딸기,26349,45.7,78132
2015,충청남도 보령시,과채류계,딸기,25700,16.6,50540
2013,충청남도 서산시,과채류계,딸기,24630,26.9,58110.75
2013,충청남도 보령시,과채류계,딸기,22031,12.7,47307
2013,충청남도 계룡시,과채류계,딸기,21827,24,68186
2011,충청남도 서산시,과채류계,딸기,20130,27.3,55800
2012,충청남도 서산시,과채류계,딸기,20130,26.1,52660
2013,충청남도 천안시,과채류계,딸기,19282,13.6,54200
2010,충청남도 계룡시,과채류계,딸기,19019,25.7,52557
2010,충청남도 보령시,과채류계,딸기,18950,41.9,182087
2012,충청남도 계룡시,과채류계,딸기,18210,25.1,51050
2011,충청남도 보령시,과채류계,딸기,17990,12.3,39500
2014,충청남도 천안시,과채류계,딸기,17982,9,53900
2015,충청남도 계룡시,과채류계,딸기,16136,22.7,46002
2012,충청남도 보령시,과채류계,딸기,15300,8,22430
2011,충청남도 계룡시,과채류계,딸기,15176,25.6,43213
2011,충청남도 청양군,과채류계,딸기,13043,0.8,4800
2014,충청남도 공주시,과채류계,딸기,11538,9.4,24495
2012,충청남도 공주시,과채류계,딸기,10640,3.9,8019
2013,충청남도 공주시,과채류계,딸기,10538,11.3,39517.5
2015,충청남도 공주시,과채류계,딸기,10338,13.1,29422
2013,충청남도 청양군,과채류계,딸기,9501.5,2.2,3380
2010,충청남도 서천군,과채류계,딸기,9000,3,9000
2014,충청남도 당진시,과채류계,딸기,8500,16.2,31095
2013,충청남도 서천군,과채류계,딸기,8100,12.1,21300
2014,충청남도 청양군,과채류계,딸기,7001.6,53434.8,31200
2012,충청남도 청양군,과채류계,딸기,6987,0.8,2900
2015,충청남도 아산시,과채류계,딸기,6930,7.2,16632
2014,충청남도 아산시,과채류계,딸기,6930,7.2,16632
2013,충청남도 아산시,과채류계,딸기,6930,6.9,15939
2015,충청남도 천안시,과채류계,딸기,6602,8.2,18000
2010,충청남도 청양군,과채류계,딸기,5940,0.3,2000
2015,충청남도 청양군,과채류계,딸기,5029.6,53442.5,43700
2014,충청남도 서천군,과채류계,딸기,3900,14.2,6400
2011,충청남도 아산시,과채류계,딸기,3820,9.2,17800
2012,충청남도 아산시,과채류계,딸기,3820,8,15600
2011,충청남도 서천군,과채류계,딸기,3100,3.8,4000
2015,충청남도 서천군,과채류계,딸기,2900,12.1,5700
2012,충청남도 서천군,과채류계,딸기,2100,3.1,3300
2015,충청남도 금산군,과채류계,딸기,1830,5.9,3583
2010,충청남도 아산시,과채류계,딸기,1500,4.7,7000
2012,충청남도 부여군,과채류계,멜론,1359536,38.3,3373163.84
2010,충청남도 부여군,과채류계,멜론,1283351,27,1992662.56
2013,충청남도 부여군,과채류계,멜론,1000521,348,12871017.69
2014,충청남도 부여군,과채류계,멜론,716140,54.5,1772438
2013,충청남도 청양군,과채류계,멜론,463181,49,1424538
2014,충청남도 청양군,과채류계,멜론,461631,37.7,1411226
2014,충청남도 논산시,과채류계,멜론,210144,47.6,441313
2015,충청남도 논산시,과채류계,멜론,195353,59.1,426861
2012,충청남도 논산시,과채류계,멜론,187267,48.3,428204
